Date,Unnamed: 0,Sale
2018-07-19,199,61189.945
2018-07-20,200,69340.4
2018-07-21,201,72823.11
2018-07-22,202,80253.77
2018-07-23,203,65573.26
2018-07-24,204,54437.01
2018-07-25,205,53917.293
2018-07-26,206,65062.02
2018-07-27,207,71965.37
2018-07-28,208,73118.69
2018-07-29,209,78242.62
2018-07-30,210,63414.16
2018-07-31,211,59679.8
2018-08-01,212,54489.52
2018-08-02,213,51841.875
2018-08-03,214,62914.03
2018-08-04,215,60738.14
2018-08-05,216,56174.047
2018-08-06,217,52400.57
2018-08-07,218,41215.61
2018-08-08,219,39866.387
2018-08-09,220,40837.824
2018-08-10,221,52385.508
2018-08-11,222,56363.895
2018-08-12,223,57539.266
2018-08-13,224,53775.492
2018-08-14,225,41512.266
2018-08-15,226,44343.656
2018-08-16,227,50443.727
2018-08-17,228,59867.8
2018-08-18,229,60152.188
2018-08-19,230,62896.094
2018-08-20,231,48933.816
2018-08-21,232,39441.477
2018-08-22,233,43044.71
2018-08-23,234,41417.477
2018-08-24,235,56469.777
2018-08-25,236,56093.668
2018-08-26,237,54793.574
2018-08-27,238,57393.777
2018-08-28,239,39880.082
2018-08-29,240,36563.21
2018-08-30,241,46978.793
2018-08-31,242,61815.652
2018-09-01,243,64023.66
2018-09-02,244,58954.277
2018-09-03,245,48906.297
2018-09-04,246,38073.25
2018-09-05,247,40701.31
2018-09-06,248,42517.55
2018-09-07,249,61509.727
2018-09-08,250,58329.785
2018-09-09,251,64128.12
2018-09-10,252,51540.33
2018-09-11,253,38108.164
2018-09-12,254,35832.94
2018-09-13,255,42704.336
2018-09-14,256,58686.227
2018-09-15,257,61317.34
2018-09-16,258,75348.234
2018-09-17,259,52342.094
2018-09-18,260,40022.926
2018-09-19,261,40399.984
2018-09-20,262,49200.77
2018-09-21,263,60834.152
2018-09-22,264,58275.055
2018-09-23,265,60981.703
2018-09-24,266,51255.047
2018-09-25,267,45280.383
2018-09-26,268,43616.44
2018-09-27,269,48120.016
2018-09-28,270,63611.934
2018-09-29,271,64373.207
2018-09-30,272,66816.742
2018-10-01,273,55905.168
2018-10-02,274,22828.549
2018-10-03,275,28417.611
2018-10-04,276,27006.926
2018-10-05,277,45046.543
2018-10-06,278,42940.887
2018-10-07,279,39435.535
2018-10-08,280,37490.117
2018-10-09,281,29332.48
2018-10-10,282,29729.543
2018-10-11,283,25730.217
2018-10-12,284,42710.31
2018-10-13,285,49711.39
2018-10-14,286,41414.11
2018-10-15,287,39282.645
2018-10-16,288,42680.223
2018-10-17,289,23698.193
2018-10-18,290,30560.895
2018-10-19,291,38262.434
2018-10-20,292,41583.133
2018-10-21,293,45561.49
2018-10-22,294,42568.93
2018-10-23,295,26059.09
2018-10-24,296,20585.152
2018-10-25,297,30323.943
2018-10-26,298,40489.188
2018-10-27,299,45704.324
2018-10-28,300,48869.72
2018-10-29,301,33147.385
2018-10-30,302,19368.283
2018-10-31,303,33372.275
2018-11-01,304,41779.86
2018-11-02,305,42371.938
2018-11-03,306,38403.98
2018-11-04,307,41253.24
2018-11-05,308,33972.63
2018-11-06,309,28884.219
2018-11-07,310,28260.281
2018-11-08,311,27709.738
2018-11-09,312,41007.55
2018-11-10,313,45234.29
2018-11-11,314,41641.824
2018-11-12,315,41723.695
2018-11-13,316,27599.027
2018-11-14,317,20930.09
2018-11-15,318,37673.568
2018-11-16,319,54035.02
2018-11-17,320,47629.555
2018-11-18,321,42369.758
2018-11-19,322,41087.375
2018-11-20,323,21202.629
2018-11-21,324,26254.543
2018-11-22,325,30805.635
2018-11-23,326,43584.824
2018-11-24,327,49332.098
2018-11-25,328,39851.137
2018-11-26,329,37976.832
2018-11-27,330,27955.4
2018-11-28,331,26313.227
2018-11-29,332,33849.9
2018-11-30,333,47525.84
2018-12-01,334,55161.215
2018-12-02,335,43983.727
2018-12-03,336,39633.666
2018-12-04,337,25486.547
2018-12-05,338,22158.61
2018-12-06,339,27055.412
2018-12-07,340,34154.48
2018-12-08,341,40241.758
2018-12-09,342,36228.293
2018-12-10,343,39618.936
2018-12-11,344,25646.49
2018-12-12,345,21832.496
2018-12-13,346,29054.943
2018-12-14,347,35830.84
2018-12-15,348,51398.797
2018-12-16,349,58341.727
2018-12-17,350,36499.64
2018-12-18,351,20166.543
2018-12-19,352,23433.764
2018-12-20,353,26165.992
2018-12-21,354,41552.76
2018-12-22,355,53142.773
2018-12-23,356,53286.887
2018-12-24,357,43342.68
2018-12-25,358,26434.6
2018-12-26,359,27817.547
2018-12-27,360,41731.678
2018-12-28,361,49687.285
2018-12-29,362,51177.8
2018-12-30,363,51567.13
2018-12-31,364,43097.734
2019-01-01,365,25353.941
2019-01-02,366,24646.564
2019-01-03,367,36724.658
2019-01-04,368,41293.203
2019-01-05,369,39576.566
2019-01-06,370,40641.18
2019-01-07,371,34497.31
2019-01-08,372,29286.809
2019-01-09,373,28464.318
2019-01-10,374,36646.986
2019-01-11,375,48641.973
2019-01-12,376,47743.125
2019-01-13,377,43040.945
2019-01-14,378,43630.4
2019-01-15,379,35913.377
2019-01-16,380,36507.707
2019-01-17,381,32144.22
2019-01-18,382,42496.51
2019-01-19,383,38267.402
2019-01-20,384,39872.344
2019-01-21,385,40730.55
2019-01-22,386,25919.912
2019-01-23,387,27412.424
2019-01-24,388,33672.062
2019-01-25,389,40931.18
2019-01-26,390,36922.59
2019-01-27,391,44837.938
2019-01-28,392,34341.078
2019-01-29,393,25592.893
2019-01-30,394,27735.525
2019-01-31,395,32999.854
2019-02-01,396,53923.81
2019-02-02,397,47575.695
2019-02-03,398,39881.043
2019-02-04,399,37980.594
2019-02-05,400,22657.242
2019-02-06,401,22494.754
2019-02-07,402,30726.592
2019-02-08,403,39679.387
2019-02-09,404,46295.242
2019-02-10,405,44841.84
2019-02-11,406,36927.582
2019-02-12,407,26823.191
2019-02-13,408,30332.703
2019-02-14,409,27866.705
2019-02-15,410,46577.555
2019-02-16,411,57449.285
2019-02-17,412,39759.53
2019-02-18,413,34999.73
2019-02-19,414,26627.545
2019-02-20,415,21855.648
2019-02-21,416,28298.799
2019-02-22,417,41493.44
2019-02-23,418,42061.227
2019-02-24,419,41659.42
2019-02-25,420,36745.818
2019-02-26,421,25044.97
2019-02-27,422,23558.482
2019-02-28,423,29115.982
2019-03-01,424,56732.184
2019-03-02,425,45379.395
2019-03-03,426,43930.984
2019-03-04,427,36207.965
2019-03-05,428,27227.64
2019-03-06,429,23480.152
2019-03-07,430,28856.914
2019-03-08,431,42154.78
2019-03-09,432,42634.19
2019-03-10,433,40015.69
2019-03-11,434,39081.965
2019-03-12,435,27180.6
2019-03-13,436,30009.111
2019-03-14,437,30311.873
2019-03-15,438,50175.508
2019-03-16,439,57162.24
2019-03-17,440,38964.76
2019-03-18,441,33649.156
2019-03-19,442,21204.975
2019-03-20,443,26654.947
2019-03-21,444,30538.82
2019-03-22,445,43284.707
2019-03-23,446,38079.117
2019-03-24,447,39736.617
2019-03-25,448,42139.645
2019-03-26,449,27137.895
2019-03-27,450,29202.406
2019-03-28,451,27568.635
2019-03-29,452,47082.715
2019-03-30,453,43318.84
2019-03-31,454,52212.934
2019-04-01,455,89090.19
2019-04-02,456,40021.336
2019-04-03,457,46615.855
2019-04-04,458,46468.83
2019-04-05,459,59410.098
2019-04-06,460,60568.64
2019-04-07,461,59598.63
2019-04-08,462,57357.082
2019-04-09,463,42970.316
2019-04-10,464,47205.953
2019-04-11,465,44763.742
2019-04-12,466,56179.438
2019-04-13,467,63817.848
2019-04-14,468,61961.96
2019-04-15,469,61522.734
2019-04-16,470,56594.18
2019-04-17,471,48820.04
2019-04-18,472,50220.31
2019-04-19,473,61505.258
2019-04-20,474,61211.6
2019-04-21,475,63126.535
2019-04-22,476,59876.39
2019-04-23,477,43512.316
2019-04-24,478,43386.83
2019-04-25,479,47826.074
2019-04-26,480,65646.434
2019-04-27,481,58891.844
2019-04-28,482,63046.402
2019-04-29,483,60013.89
2019-04-30,484,51691.668
2019-05-01,485,61129.176
2019-05-02,486,52237.633
2019-05-03,487,65285.98
2019-05-04,488,61917.113
2019-05-05,489,61460.227
2019-05-06,490,53229.66
2019-05-07,491,41275.207
2019-05-08,492,44432.066
2019-05-09,493,46984.633
2019-05-10,494,63245.19
2019-05-11,495,57704.6
2019-05-12,496,65336.06
2019-05-13,497,57565.516
2019-05-14,498,46829.17
2019-05-15,499,45070.31
2019-05-16,500,62090.133
2019-05-17,501,64958.254
2019-05-18,502,64120.664
2019-05-19,503,65765.777
2019-05-20,504,53101.51
2019-05-21,505,43067.055
2019-05-22,506,47838.047
2019-05-23,507,45865.613
2019-05-24,508,64745.332
2019-05-25,509,60249.6
2019-05-26,510,61851.09
2019-05-27,511,57318.24
2019-05-28,512,41517.543
2019-05-29,513,48363.926
2019-05-30,514,54488.59
2019-05-31,515,61329.19
2019-06-01,516,77830.93
2019-06-02,517,63506.977
2019-06-03,518,53865.07
2019-06-04,519,50918.484
2019-06-05,520,47351.996
2019-06-06,521,52585.86
2019-06-07,522,61825.734
2019-06-08,523,58115.902
2019-06-09,524,58635.047
2019-06-10,525,57917.754
2019-06-11,526,43340.168
2019-06-12,527,46995.277
2019-06-13,528,45802.48
2019-06-14,529,61016.418
2019-06-15,530,62055.465
2019-06-16,531,74450.44
2019-06-17,532,57208.074
2019-06-18,533,42258.668
2019-06-19,534,43676.56
2019-06-20,535,48928.75
2019-06-21,536,61312.434
2019-06-22,537,60817.574
2019-06-23,538,58318.72
2019-06-24,539,58168.996
2019-06-25,540,42316.48
2019-06-26,541,48815.992
2019-06-27,542,47429.36
2019-06-28,543,65158.008
2019-06-29,544,60308.207
2019-06-30,545,66256.867
2019-07-01,546,79607.06
2019-07-02,547,60640.36
2019-07-03,548,61401.082
2019-07-04,549,66004.68
2019-07-05,550,70949.08
2019-07-06,551,72797.43
2019-07-07,552,75229.36
2019-07-08,553,70417.645
2019-07-09,554,54490.17
2019-07-10,555,58420.895
2019-07-11,556,66828.01
2019-07-12,557,79558.55
2019-07-13,558,74013.77
2019-07-14,559,72419.7
2019-07-15,560,71316.99
2019-07-16,561,64251.38
2019-07-17,562,56891.074
2019-07-18,563,61975.55
2019-07-19,564,70182.19
2019-07-20,565,69257.23
2019-07-21,566,78489.98
2019-07-22,567,64491.3
2019-07-23,568,61031.824
2019-07-24,569,62179.336
2019-07-25,570,62211.527
2019-07-26,571,74336.77
2019-07-27,572,71426.78
2019-07-28,573,76289.36
2019-07-29,574,66516.434
2019-07-30,575,54865.035
2019-07-31,576,57819.45
2019-08-01,577,58380.637
2019-08-02,578,63220.875
2019-08-03,579,63086.973
2019-08-04,580,61160.6
2019-08-05,581,58954.39
2019-08-06,582,38325.277
2019-08-07,583,40372.79
2019-08-08,584,48500.855
2019-08-09,585,59298.54
2019-08-10,586,57129.45
2019-08-11,587,62665.355
2019-08-12,588,51024.18
2019-08-13,589,47118.31
2019-08-14,590,46957.445
2019-08-15,591,48511.117
2019-08-16,592,68526.188
2019-08-17,593,54039.36
2019-08-18,594,58013.266
2019-08-19,595,51663.59
2019-08-20,596,37427.055
2019-08-21,597,43182.246
2019-08-22,598,43438.66
2019-08-23,599,56768.96
